3.36082e+14	28.9131	14.8941
3.36082e+14	67.7562	36.9985
3.36082e+14	100.169	58.4435
3.36082e+14	120.25	70.0254
3.36082e+14	112.69	71.6611
3.36082e+14	92.5495	73.0497
3.36082e+14	79.1333	69.0491
3.36082e+14	67.1796	63.9896
3.36082e+14	58.1872	59.5334
3.36082e+14	49.2127	56.3074
3.36082e+14	40.5748	50.1926
3.36082e+14	34.7991	33.8761
3.36082e+14	31.5048	25.7172
3.36082e+14	22.7173	24.0839
3.36082e+14	21.7804	18.0001
3.36082e+14	17.3167	15.6116
3.36082e+14	14.2195	13.8625
3.36082e+14	14.4908	10.275
3.36082e+14	10.9127	11.6786
3.36082e+14	7.87542	12.2887
3.36082e+14	9.00276	12.4411
3.36082e+14	9.42261	12.2084
3.36082e+14	9.19167	11.5593
3.36082e+14	8.54305	10.6802
3.36082e+14	7.63359	4.34
3.36082e+14	6.73547	2.81027
3.36082e+14	9.61998	4.55856
3.36082e+14	10.3405	5.23938
3.36082e+14	10.371	5.46203
3.36082e+14	9.93558	5.42446
3.36082e+14	12.3952	5.23781
3.36082e+14	10.6558	5.0349
3.36082e+14	8.92964	2.4915
3.36082e+14	7.08027	0.449395
3.36082e+14	9.20305	1.96272
3.36082e+14	8.10326	2.62228
3.36082e+14	7.20058	2.71228
3.36083e+14	6.38376	2.63187
3.36083e+14	5.86132	2.54775
3.36083e+14	5.10543	2.37065
3.36083e+14	4.3484	2.16517
3.36083e+14	3.50775	-0.491332
3.36083e+14	6.44511	0.433503
3.36083e+14	7.39841	0.876577
3.36083e+14	7.6336	1.08539
3.36083e+14	10.6065	1.17176
3.36083e+14	11.6449	1.17937
3.36083e+14	11.6265	1.13704
3.36083e+14	10.9354	-1.27106
3.36083e+14	9.75945	-2.81336
3.36083e+14	6.59133	-3.67057
3.36083e+14	12.0427	-9.2904
3.36083e+14	13.881	-11.6405
3.36083e+14	14.2757	-12.5567
3.36083e+14	13.9301	-12.7384
3.36083e+14	12.9597	-12.3862
3.36083e+14	9.73133	-10.4334
3.36083e+14	-1.64651	-1.82211
3.36083e+14	0.741283	-3.07383
3.36083e+14	-0.964972	0.627941
3.36083e+14	-1.98288	2.93578
3.36083e+14	0.336927	4.21559
3.36083e+14	1.83739	4.90493
3.36083e+14	2.78412	4.92959
3.36083e+14	3.00475	4.68314
3.36083e+14	3.01459	2.38894
3.36083e+14	5.78367	0.820825
